Time,AvgVolume
00:00,57.57258064516129
00:15,54.403225806451616
00:30,47.24193548387097
00:45,45.21774193548387
01:00,41.71774193548387
01:15,38.935483870967744
01:30,36.733870967741936
01:45,34.37903225806452
02:00,33.37903225806452
02:15,32.096774193548384
02:30,31.524193548387096
02:45,31.758064516129032
03:00,31.75
03:15,31.362903225806452
03:30,30.443548387096776
03:45,30.31451612903226
04:00,30.338709677419356
04:15,31.612903225806452
04:30,32.5
04:45,36.24193548387097
05:00,37.61290322580645
05:15,42.17741935483871
05:30,49.653225806451616
05:45,57.645161290322584
06:00,72.65322580645162
06:15,95.69354838709677
06:30,119.69354838709677
06:45,136.09677419354838
07:00,147.42741935483872
07:15,164.73387096774192
07:30,177.0483870967742
07:45,184.1048387096774
08:00,189.81451612903226
08:15,192.58870967741936
08:30,189.3790322580645
08:45,182.49193548387098
09:00,170.40322580645162
09:15,173.23387096774192
09:30,167.63709677419354
09:45,166.15322580645162
10:00,156.21774193548387
10:15,162.0483870967742
10:30,159.75
10:45,159.99193548387098
11:00,156.16935483870967
11:15,159.65322580645162
11:30,160.24193548387098
11:45,165.9758064516129
12:00,165.15322580645162
12:15,167.71774193548387
12:30,166.07258064516128
12:45,164.67741935483872
13:00,162.58870967741936
13:15,159.59677419354838
13:30,165.01612903225808
13:45,160.70967741935485
14:00,159.24193548387098
14:15,165.08870967741936
14:30,163.61290322580646
14:45,168.29032258064515
15:00,171.18548387096774
15:15,180.23387096774192
15:30,174.38709677419354
15:45,175.1451612903226
16:00,178.18548387096774
16:15,175.3548387096774
16:30,180.29032258064515
16:45,183.67741935483872
17:00,185.5483870967742
17:15,193.41935483870967
17:30,191.11290322580646
17:45,185.75806451612902
18:00,183.83870967741936
18:15,179.33870967741936
18:30,169.9516129032258
18:45,164.3709677419355
19:00,153.63709677419354
19:15,145.59677419354838
19:30,133.5241935483871
19:45,119.88709677419355
20:00,112.65322580645162
20:15,105.20161290322581
20:30,103.76612903225806
20:45,102.49193548387096
21:00,107.39516129032258
21:15,104.33064516129032
21:30,99.45161290322581
21:45,95.95161290322581
22:00,94.9274193548387
22:15,89.30645161290323
22:30,85.24193548387096
22:45,80.20161290322581
23:00,75.66935483870968
23:15,71.28225806451613
23:30,63.82258064516129
23:45,58.95161290322581
