Time,AvgVolume
00:00,39.36290322580645
00:15,35.78225806451613
00:30,27.911290322580644
00:45,24.75
01:00,20.95967741935484
01:15,18.85483870967742
01:30,16.072580645161292
01:45,12.362903225806452
02:00,12.0
02:15,11.524193548387096
02:30,10.28225806451613
02:45,10.741935483870968
03:00,11.161290322580646
03:15,9.85483870967742
03:30,10.21774193548387
03:45,9.25
04:00,8.870967741935484
04:15,9.806451612903226
04:30,11.056451612903226
04:45,13.120967741935484
05:00,16.024193548387096
05:15,21.693548387096776
05:30,30.5
05:45,38.03225806451613
06:00,51.08870967741935
06:15,71.46774193548387
06:30,103.29838709677419
06:45,121.43548387096774
07:00,132.46774193548387
07:15,153.66129032258064
07:30,161.7983870967742
07:45,165.66129032258064
08:00,165.50806451612902
08:15,172.36290322580646
08:30,174.16935483870967
08:45,166.07258064516128
09:00,156.66935483870967
09:15,160.8790322580645
09:30,160.6048387096774
09:45,156.99193548387098
10:00,148.81451612903226
10:15,151.41935483870967
10:30,149.48387096774192
10:45,150.7983870967742
11:00,146.49193548387098
11:15,150.4758064516129
11:30,154.2983870967742
11:45,154.7983870967742
12:00,156.65322580645162
12:15,161.41935483870967
12:30,157.66935483870967
12:45,156.49193548387098
13:00,155.83064516129033
13:15,154.75806451612902
13:30,156.1209677419355
13:45,154.96774193548387
14:00,151.5483870967742
14:15,156.16935483870967
14:30,155.54032258064515
14:45,163.07258064516128
15:00,167.49193548387098
15:15,176.66935483870967
15:30,169.8548387096774
15:45,174.79032258064515
16:00,173.8790322580645
16:15,176.33870967741936
16:30,182.78225806451613
16:45,182.75806451612902
17:00,186.24193548387098
17:15,194.5241935483871
17:30,191.5483870967742
17:45,187.98387096774192
18:00,185.06451612903226
18:15,182.56451612903226
18:30,169.08064516129033
18:45,160.74193548387098
19:00,148.16129032258064
19:15,139.6209677419355
19:30,123.73387096774194
19:45,111.05645161290323
20:00,103.0725806451613
20:15,96.55645161290323
20:30,94.49193548387096
20:45,89.59677419354838
21:00,93.45161290322581
21:15,89.61290322580645
21:30,86.54838709677419
21:45,84.84677419354838
22:00,81.66935483870968
22:15,75.6774193548387
22:30,71.4758064516129
22:45,66.14516129032258
23:00,60.58870967741935
23:15,54.604838709677416
23:30,46.63709677419355
23:45,41.056451612903224
